obs	sex	education	job	salary	total_sal	month	career	racial
1	m	15	3	$57,000.00 	$27,000.00 	98	144	0
2	m	16	1	$40,200.00 	$18,750.00 	98	36	0
3	f	12	1	$21,450.00 	$12,000.00 	98	381	0
4	f	8	1	$21,900.00 	$13,200.00 	98	190	0
5	m	15	1	$45,000.00 	$21,000.00 	98	138	0
6	m	15	1	$32,100.00 	$13,500.00 	98	67	0
7	m	15	1	$36,000.00 	$18,750.00 	98	114	0
8	f	12	1	$21,900.00 	$9,750.00 	98	0	0
9	f	15	1	$27,900.00 	$12,750.00 	98	115	0
10	f	12	1	$24,000.00 	$13,500.00 	98	244	0
11	f	16	1	$30,300.00 	$16,500.00 	98	143	0
12	m	8	1	$28,350.00 	$12,000.00 	98	26	1
13	m	15	1	$27,750.00 	$14,250.00 	98	34	1
14	f	15	1	$35,100.00 	$16,800.00 	98	137	1
15	m	12	1	$27,300.00 	$13,500.00 	97	66	0
16	m	12	1	$40,800.00 	$15,000.00 	97	24	0
17	m	15	1	$46,000.00 	$14,250.00 	97	48	0
18	m	16	3	$103,750.00 	$27,510.00 	97	70	0
19	m	12	1	$42,300.00 	$14,250.00 	97	103	0
20	f	12	1	$26,250.00 	$11,550.00 	97	48	0
21	f	16	1	$38,850.00 	$15,000.00 	97	17	0
22	m	12	1	$21,750.00 	$12,750.00 	97	315	1
23	f	15	1	$24,000.00 	$11,100.00 	97	75	1
24	f	12	1	$16,950.00 	$9,000.00 	97	124	1
25	f	15	1	$21,150.00 	$9,000.00 	97	171	1
26	m	15	1	$31,050.00 	$12,600.00 	96	14	0
27	m	19	3	$60,375.00 	$27,480.00 	96	96	0
28	m	15	1	$32,550.00 	$14,250.00 	96	43	0
29	m	19	3	$135,000.00 	$79,980.00 	96	199	0
30	m	15	1	$31,200.00 	$14,250.00 	96	54	0
31	m	12	1	$36,150.00 	$14,250.00 	96	83	0
32	m	19	3	$110,625.00 	$45,000.00 	96	120	0
33	m	15	1	$42,000.00 	$15,000.00 	96	68	0
34	m	19	3	$92,000.00 	$39,990.00 	96	175	0
35	m	17	3	$81,250.00 	$30,000.00 	96	18	0
36	f	8	1	$31,350.00 	$11,250.00 	96	52	0
37	m	12	1	$29,100.00 	$13,500.00 	96	113	1
38	m	15	1	$31,350.00 	$15,000.00 	96	49	1
39	m	16	1	$36,000.00 	$15,000.00 	96	46	1
40	f	15	1	$19,200.00 	$9,000.00 	96	23	1
41	f	12	1	$23,550.00 	$11,550.00 	96	52	1
42	m	15	1	$35,100.00 	$16,500.00 	95	90	0
43	m	12	1	$23,250.00 	$14,250.00 	95	46	0
44	m	8	1	$29,250.00 	$14,250.00 	95	50	0
45	m	12	2	$30,750.00 	$13,500.00 	95	307	0
46	f	15	1	$22,350.00 	$12,750.00 	95	165	0
47	f	12	1	$30,000.00 	$16,500.00 	95	228	0
48	m	12	2	$30,750.00 	$14,100.00 	94	240	0
49	m	15	1	$34,800.00 	$16,500.00 	94	93	0
50	m	16	3	$60,000.00 	$23,730.00 	94	59	0
51	m	12	1	$35,550.00 	$15,000.00 	94	48	0
52	m	15	1	$45,150.00 	$15,000.00 	94	40	0
53	m	18	3	$73,750.00 	$26,250.00 	94	56	0
54	m	12	1	$25,050.00 	$13,500.00 	94	444	0
55	m	12	1	$27,000.00 	$15,000.00 	94	120	0
56	m	15	1	$26,850.00 	$13,500.00 	94	5	0
57	m	15	1	$33,900.00 	$15,750.00 	94	78	0
58	f	15	1	$26,400.00 	$13,500.00 	94	3	0
59	m	15	1	$28,050.00 	$14,250.00 	94	36	1
60	m	12	1	$30,900.00 	$15,000.00 	94	102	1
61	m	8	1	$22,500.00 	$9,750.00 	94	36	1
62	m	16	3	$48,000.00 	$21,750.00 	93	22	0
63	m	17	3	$55,000.00 	$26,250.00 	93	32	0
64	m	16	3	$53,125.00 	$21,000.00 	93	48	0
65	m	8	1	$21,900.00 	$14,550.00 	93	41	0
66	m	19	3	$78,125.00 	$30,000.00 	93	7	0
67	m	16	3	$46,000.00 	$21,240.00 	93	35	0
68	m	16	3	$45,250.00 	$21,480.00 	93	36	0
69	m	16	3	$56,550.00 	$25,000.00 	93	34	0
70	m	15	1	$41,100.00 	$20,250.00 	93	27	0
71	m	17	3	$82,500.00 	$34,980.00 	93	207	0
72	f	16	1	$54,000.00 	$18,000.00 	93	11	0
73	f	12	1	$26,400.00 	$10,500.00 	93	0	0
74	f	15	1	$33,900.00 	$19,500.00 	93	192	0
75	f	15	1	$24,150.00 	$11,550.00 	93	0	0
76	f	15	1	$29,250.00 	$11,550.00 	93	11	0
77	f	12	1	$27,600.00 	$11,400.00 	93	6	0
78	f	12	1	$22,950.00 	$10,500.00 	93	10	0
79	f	16	1	$34,800.00 	$14,550.00 	93	8	0
80	f	16	1	$51,000.00 	$18,000.00 	93	22	0
81	f	12	1	$24,300.00 	$10,950.00 	93	5	0
82	f	12	1	$24,750.00 	$14,250.00 	93	193	1
83	f	12	1	$22,950.00 	$11,250.00 	93	0	1
84	f	8	1	$25,050.00 	$10,950.00 	93	8	1
85	m	15	1	$25,950.00 	$17,100.00 	92	42	0
86	m	15	1	$31,650.00 	$15,750.00 	92	64	0
87	m	12	1	$24,150.00 	$14,100.00 	92	130	0
88	m	19	3	$72,500.00 	$28,740.00 	92	10	0
89	m	19	3	$68,750.00 	$27,480.00 	92	8	0
90	f	8	1	$16,200.00 	$9,750.00 	92	0	0
91	f	12	1	$20,100.00 	$11,250.00 	92	24	0
92	f	8	1	$24,000.00 	$10,950.00 	92	6	0
93	f	12	1	$25,950.00 	$10,950.00 	92	0	0
94	f	12	1	$24,600.00 	$10,050.00 	92	44	0
95	f	12	1	$28,500.00 	$10,500.00 	92	6	0
96	m	8	2	$30,750.00 	$15,000.00 	92	432	1
97	m	17	1	$40,200.00 	$19,500.00 	92	168	1
98	m	8	2	$30,000.00 	$15,000.00 	92	144	1
99	f	12	1	$22,050.00 	$10,950.00 	92	5	1
100	m	18	3	$78,250.00 	$27,480.00 	91	47	0
101	m	16	3	$60,625.00 	$22,500.00 	91	44	0
102	m	14	1	$39,900.00 	$15,750.00 	91	59	0
103	m	19	3	$97,000.00 	$35,010.00 	91	68	0
104	m	15	1	$27,450.00 	$15,750.00 	91	48	0
105	m	15	1	$31,650.00 	$13,500.00 	91	18	0
106	m	19	3	$91,250.00 	$29,490.00 	91	23	0
107	f	12	1	$25,200.00 	$14,400.00 	91	83	0
108	f	12	1	$21,000.00 	$11,550.00 	91	108	0
109	m	12	1	$30,450.00 	$15,000.00 	91	49	1
110	m	15	1	$28,350.00 	$18,000.00 	91	151	1
111	m	12	2	$30,750.00 	$9,000.00 	91	314	1
112	m	12	2	$30,750.00 	$15,000.00 	91	240	1
113	m	16	3	$54,875.00 	$27,480.00 	90	68	0
114	m	14	1	$37,800.00 	$16,500.00 	90	60	0
115	m	15	1	$33,450.00 	$14,100.00 	90	85	0
116	m	15	1	$30,300.00 	$16,500.00 	90	16	0
117	f	12	1	$31,500.00 	$18,750.00 	90	205	0
118	f	12	1	$31,650.00 	$14,250.00 	90	48	0
119	f	12	1	$25,200.00 	$14,100.00 	90	55	0
120	f	16	3	$37,800.00 	$15,750.00 	90	7	0
121	f	15	1	$18,750.00 	$10,500.00 	90	54	0
122	f	15	1	$32,550.00 	$13,500.00 	90	22	0
123	f	12	1	$33,300.00 	$15,000.00 	90	3	0
124	f	16	1	$38,550.00 	$16,500.00 	90	0	0
125	m	12	1	$27,450.00 	$15,000.00 	90	173	1
126	m	15	2	$24,300.00 	$15,000.00 	90	191	1
127	m	12	2	$30,750.00 	$15,000.00 	90	209	1
128	f	12	1	$19,650.00 	$9,750.00 	90	229	1
129	m	17	3	$68,750.00 	$27,510.00 	89	38	0
130	m	20	3	$59,375.00 	$30,000.00 	89	6	0
131	m	15	1	$31,500.00 	$15,750.00 	89	22	0
132	m	12	1	$27,300.00 	$17,250.00 	89	175	0
133	m	15	1	$27,000.00 	$15,750.00 	89	87	0
134	f	16	3	$41,550.00 	$24,990.00 	89	285	0
135	f	12	1	$26,250.00 	$10,950.00 	89	0	0
136	m	12	1	$22,200.00 	$15,000.00 	88	324	0
137	m	21	3	$65,000.00 	$37,500.00 	88	264	0
138	m	12	1	$30,900.00 	$15,000.00 	88	252	0
139	f	8	1	$20,100.00 	$13,200.00 	88	90	0
140	f	12	1	$22,350.00 	$13,500.00 	88	26	0
141	f	15	1	$35,550.00 	$13,350.00 	88	32	0
142	f	12	1	$28,500.00 	$13,950.00 	88	34	0
143	f	12	1	$24,450.00 	$13,200.00 	88	107	0
144	f	8	1	$16,650.00 	$9,750.00 	88	412	0
145	m	12	1	$26,700.00 	$13,500.00 	88	38	1
146	m	18	1	$43,950.00 	$23,250.00 	88	182	1
147	m	15	1	$23,700.00 	$13,500.00 	88	359	1
148	f	15	1	$26,550.00 	$14,250.00 	88	61	1
149	m	12	1	$27,600.00 	$15,000.00 	87	75	0
150	m	12	1	$25,800.00 	$15,000.00 	87	143	0
151	m	16	3	$42,300.00 	$26,250.00 	87	126	0
152	m	8	2	$30,750.00 	$15,000.00 	87	451	0
153	f	12	1	$26,700.00 	$12,900.00 	87	18	0
154	f	12	1	$20,850.00 	$12,000.00 	87	163	0
155	m	15	1	$35,250.00 	$15,000.00 	87	54	1
156	m	15	1	$26,700.00 	$15,000.00 	87	56	1
157	f	12	1	$26,550.00 	$13,050.00 	87	11	1
158	f	12	1	$27,750.00 	$12,000.00 	87	11	1
159	f	16	1	$25,050.00 	$12,750.00 	87	123	1
160	m	16	3	$66,000.00 	$47,490.00 	86	150	0
161	m	16	1	$52,650.00 	$19,500.00 	86	20	0
