ID,Sex,Age,Height,Weight
1,남,14,69,112.5
2,여,13,56.5,84
3,여,13,65.3,98
4,여,14,62.8,102.5
5,남,14,63.5,102.5
6,남,12,57.3,83
7,여,12,59.8,84.5
8,여,15,62.5,112.5
9,남,13,62.5,84
10,남,12,61,99.5
11,여,11,51.3,50.5
12,여,14,64.3,90
13,여,12,56.3,77
14,여,15,66.5,112
15,남,16,61,150
16,남,12,64.8,128
17,남,15,67,133
18,남,11,57.5,85
19,남,15,66.5,112
20,남,14,51.3,112.5
21,여,13,64.3,84
22,여,13,56.3,98
23,여,14,66.5,102.5
24,남,14,72,102.5
25,남,12,64.8,83
26,여,12,67,84.5
27,여,15,57.5,112.5
28,남,13,66.5,84
29,남,12,62.8,99.5
30,여,11,63.5,50.5
31,여,14,57.3,90
32,여,12,59.8,77
33,여,15,62.5,112
34,남,16,62.5,150
35,남,12,62.8,128
36,남,15,63.5,133
37,남,11,57.3,85
38,남,15,59.8,112
39,남,14,62.5,131.25
40,여,13,64.3,135.03
41,여,13,56.3,118.23
42,여,14,66.5,139.65
43,남,14,61,151.2
44,남,12,64.8,136.08
45,여,12,67,140.7
46,여,15,57.5,120.75
47,남,13,66.5,139.65
48,남,12,62.8,131.88
49,여,11,63.5,133.35
50,여,14,57.3,120.33
51,여,12,59.8,125.58
52,여,15,64.3,135.03
53,남,16,56.3,118.23
54,남,12,66.5,139.65
55,남,15,72,151.2
56,남,11,64.8,136.08
57,남,15,67,140.7
58,남,14,57.5,120.75
59,여,13,66.5,139.65
60,여,13,62.8,131.88
61,여,14,63.5,133.35
62,남,14,57.3,120.33
63,남,12,59.8,125.58
64,여,12,57.5,120.75
65,여,15,66.5,139.65
66,남,13,62.8,131.88
67,남,12,63.5,133.35
68,여,11,57.3,120.33
69,여,14,59.8,125.58
70,여,12,64.3,135.03
71,여,15,56.3,118.23
72,남,16,66.5,139.65
73,남,12,57.5,120.75
74,남,15,66.5,139.65
75,남,11,62.8,131.88
76,남,15,63.5,133.35
77,남,14,57.3,120.33
78,여,13,59.8,125.58
79,여,13,57.5,120.75
80,여,14,66.5,139.65
81,남,14,62.8,131.88
82,남,12,63.5,133.35
83,여,12,63.5,133.35
84,여,15,57.3,120.33
85,남,13,59.8,125.58
86,남,12,57.5,120.75
87,여,11,66.5,139.65
88,여,14,62.8,131.88
89,여,12,63.5,133.35
90,여,15,57.5,120.75
91,남,16,66.5,139.65
92,남,12,63.5,133.35
93,남,15,57.3,120.33
94,남,11,59.8,125.58
95,남,15,57.5,120.75
96,남,14,66.5,139.65
97,여,13,62.8,131.88
98,여,13,63.5,133.35
99,여,14,66.5,139.65
100,남,14,62.8,131.88
101,남,12,63.5,133.35
102,여,12,57.5,120.75
103,여,15,66.5,139.65
104,남,13,62.8,131.88
105,남,12,63.5,133.35
106,여,11,57.5,120.75
107,여,14,66.5,139.65
108,여,12,63.5,133.35
109,여,15,57.3,120.33
110,남,16,59.8,125.58
111,남,12,57.5,120.75
112,남,15,66.5,139.65
113,남,11,57.5,120.75
114,남,15,66.5,139.65
115,남,14,63.5,133.35
116,여,13,57.3,120.33
117,여,13,63.5,133.35
118,여,14,57.3,120.33
119,남,14,57.5,120.75
120,남,12,66.5,139.65
121,여,12,62.8,131.88
122,여,15,63.5,133.35
123,남,13,57.5,120.75
124,남,12,66.5,139.65
125,여,11,63.5,133.35
126,여,14,57.3,120.33
127,여,12,59.8,125.58
128,여,15,57.5,120.75
129,남,16,66.5,139.65
130,남,12,57.5,120.75
131,남,15,57.5,120.75
132,남,11,66.5,139.65
133,남,15,62.8,131.88
134,남,14,63.5,133.35
135,여,13,57.5,120.75
136,여,13,66.5,139.65
137,여,14,63.5,133.35
138,남,14,57.3,120.33
139,남,12,59.8,125.58
140,여,12,57.5,120.75
141,여,15,66.5,139.65
142,남,13,57.5,120.75
143,남,12,66.5,139.65
144,여,11,63.5,133.35
145,여,14,57.3,120.33
146,여,12,63.5,133.35
147,여,15,63.5,133.35
148,남,16,57.3,120.33
149,남,12,59.8,125.58
150,남,15,57.5,120.75
151,남,11,66.5,139.65
152,남,15,57.5,120.75
153,남,19,66.5,139.65
154,여,12,57.5,120.75
155,여,9,66.5,139.65
156,여,5,63.5,133.35
157,남,0,57.3,120.33
158,남,15,59.8,125.58
159,여,-1,57.5,109.25
160,여,12,66.5,126.35
161,남,13,57.5,109.25
162,남,15,66.5,126.35
163,여,20,63.5,120.65
164,여,21,57.3,108.87
165,여,15.5,63.5,120.65
166,여,16.4,63.5,120.65
167,남,5,57.3,108.87
168,남,4.3,59.8,113.62
169,남,13,57.5,109.25
170,남,12,66.5,126.35
171,남,20,57.5,109.25
172,남,9,66.5,126.35
173,여,-9,57.5,109.25
174,여,-0.1,66.5,126.35
175,여,5,63.5,120.65
176,남,16,61.3,108.87
177,남,12,61.5,113.62
178,여,20,61.5,109.25
179,여,354,66.5,126.35
180,남,45,57.5,109.25
181,남,2,66.5,126.35
182,여,1,63.5,120.65
183,여,9,57.3,108.87
184,여,15,63.5,120.65
185,여,12,63.5,120.65
186,남,4,57.3,108.87
187,남,56,59.8,113.62
188,남,3,57.5,109.25
189,남,35,66.5,126.35
190,남,5,57.5,109.25
