gender	score
2	16
1	38
2	27
1	12
2	73
1	43
1	43
2	91
1	88
2	7
1	78
2	78
2	48
1	58
2	23
1	22
1	81
2	10
2	68
2	64
2	8
1	70
1	72
1	81
1	6
2	94
2	38
2	46
2	12
1	82
1	44
2	99
1	100
1	62
2	77
1	17
1	39
2	88
1	37
1	44
1	100
1	94
2	23
1	63
2	31
2	94
1	87
2	92
1	81
2	10
2	39
1	46
2	86
2	32
1	41
1	90
1	24
1	31
1	100
1	22
2	74
2	66
1	49
1	37
1	11
1	84
2	33
1	14
2	70
2	74
1	78
1	67
1	54
2	89
1	94
2	33
1	35
2	85
1	2
1	49
1	17
1	63
2	51
2	93
2	0
2	5
1	65
1	67
1	87
1	100
1	42
2	99
2	22
1	2
1	94
1	21
2	57
2	28
2	22
2	51
