obs,y,x0,e1,e2,s,j,x1
1,570,144,0,0,1,1,10
2,402,36,1,0,1,0,6
3,214.5,381,0,0,0,0,8
4,219,190,0,0,0,0,6
5,450,138,0,0,1,0,8
6,321,67,0,0,1,0,5
7,360,114,0,0,1,0,7
8,219,0,0,0,0,0,3
9,279,115,0,0,0,0,5
10,240,244,0,0,0,0,7
11,303,143,1,0,0,0,7
12,283.5,26,0,0,1,0,4
13,277.5,34,0,0,1,0,5
14,351,137,0,0,0,0,7
15,273,66,0,0,1,0,5
16,408,24,0,0,1,0,5
17,460,48,0,0,1,0,5
18,1037.5,70,1,0,1,1,9
19,423,103,0,0,1,0,5
20,262.5,48,0,0,0,0,4
21,388.5,17,1,0,0,0,5
22,217.5,315,0,0,1,0,8
23,240,75,0,0,0,0,4
24,169.5,124,0,0,0,0,4
25,211.5,171,0,0,0,0,5
26,310.5,14,0,0,1,0,4
27,603.75,96,0,1,1,1,9
28,325.5,43,0,0,1,0,5
29,1350,199,0,1,1,1,26
30,312,54,0,0,1,0,5
31,361.5,83,0,0,1,0,5
32,1106.25,120,0,1,1,1,15
33,420,68,0,0,1,0,5
34,920,175,0,1,1,1,14
35,812.5,18,0,1,1,1,9
36,313.5,52,0,0,0,0,4
37,291,113,0,0,1,0,5
38,313.5,49,0,0,1,0,5
39,360,46,1,0,1,0,5
40,192,23,0,0,0,0,3
41,235.5,52,0,0,0,0,4
42,351,90,0,0,1,0,6
43,232.5,46,0,0,1,0,5
44,292.5,50,0,0,1,0,5
45,307.5,307,0,0,1,0,8
46,223.5,165,0,0,0,0,6
47,300,228,0,0,0,0,8
48,307.5,240,0,0,1,0,7
49,348,93,0,0,1,0,6
50,600,59,1,0,1,1,8
51,355.5,48,0,0,1,0,5
52,451.5,40,0,0,1,0,5
53,737.5,56,0,1,1,1,8
54,250.5,444,0,0,1,0,9
55,270,120,0,0,1,0,6
56,268.5,5,0,0,1,0,4
57,339,78,0,0,1,0,6
