  x1   x2   x3  x4 x5 x6   y
 4.5 10.8  2.2  52  0  0 585
 5.4 13.5  2.3 100  0  0 415
 4.6 15.1  2.6 122  0  0 411
 5.2  9.8  2.0  39  0  0 372
 5.1 13.9  2.7  98  0  0 488
 5.0 15.2  1.6 115  0  0 476
 3.9 11.4  1.1  71  0  0 584
 6.4 10.9  1.7  69  0  0 712
 6.6 14.5  4.0 103  0  0 532
 6.8 14.7  1.5 101  0  0 689
 7.1 11.4  2.7  92  0  1 803
 6.5  6.4  1.7  41  0  1 730
 5.9 12.2  1.9  88  0  1 671
 6.4  3.2  3.1   8  0  1 633
 6.6 13.3  2.2  90  0  1 703
 6.6 12.6  3.4  76  0  1 575
 6.7  9.9  3.8  62  0  1 601
 5.7 13.5  3.3 103  0  1 447
 6.1 13.4  1.7 101  0  1 617
 9.0 14.4  7.0 120  0  1 735
 6.7 12.9  3.2  99  1  0 654
 6.8  5.1  4.0  42  1  0 504
 6.9 13.7  3.7 119  1  0 744
 6.6 11.8  3.4 117  1  0 523
 6.5 10.0  1.6  84  1  0 868
 6.6  9.3  3.6  74  1  0 783
 6.3  7.4  2.3  61  1  0 748
 6.2 15.4  4.4 136  1  0 555
 6.4 19.2  2.6 174  1  0 667
 6.6 10.0  6.1  90  1  0 267
 4.8 10.9  4.5  77  1  1 384
 7.4  6.5  4.7  48  1  1 377
 7.1 19.8  4.1 198  1  1 441
 5.9 15.5  5.5 148  1  1 178
 5.4 10.5  3.3  81  1  1 655
 2.0 11.4  6.0  97  1  1 230
 4.8 12.9  3.1 106  1  1 442
 5.3  3.6  4.8  14  1  1 316
 6.3  5.1  5.8  23  1  1 132
 6.3 14.5  3.9 131  1  1 590
 
 
