sex	age	height	weight
F	14.3	143	38.6
F	15.5	158.2	47.6
F	15.3	160.8	49
F	16.1	149.9	41.7
F	19.1	158.8	51
F	17.1	158.8	50.8
F	18.5	149.9	47.2
F	14.2	143.5	31.3
F	16	157.5	42.9
F	14	136.7	31.1
F	13.9	156.2	47.2
F	17.8	156.2	46.9
F	15.7	163.8	56
F	14.9	148.1	42.2
F	14.3	130.3	22.9
F	14.5	149.4	40.4
F	19.1	165.9	48.5
F	15	151.1	35.6
F	14.7	155.7	52.2
F	18	160.8	51.7
F	14.1	157	38.6
F	14	135.9	36.7
F	16.4	147.3	37.9
F	17.6	155.7	50.8
F	18.5	160.8	45.8
F	16.6	156.2	46.9
F	17.5	154.4	42.4
F	18	149.9	50.8
F	21	166.4	63.5
F	14.6	143	37.9
F	17	163.3	40.8
F	16.2	147.3	38.1
F	14.9	163.3	50.1
F	13.9	146.1	43.5
F	18.6	146.8	43.1
F	19.7	156.2	54.9
F	16.9	158.2	45.1
F	17.7	157	64.6
F	18.5	165.9	53.5
F	18.2	148.1	47.4
F	17.3	159.5	46.5
F	16.6	150.6	40.6
F	16.8	156.2	43.1
F	16.9	157.5	44.7
F	15	155.7	42.6
F	18.4	158.2	49
F	13.9	134.1	28.8
F	14.7	151.9	38.3
F	14.4	151.1	42.4
F	17.7	155.7	50.8
F	17.8	161.3	67.4
F	19.7	164.6	50.8
F	14.6	152.4	49.4
F	14.5	149.9	41.5
F	14.7	141.7	34
F	14.5	146.8	38.1
F	15.5	155.7	48.5
F	16.7	158.2	42
F	18.3	163.3	49.7
F	14.3	141	38.1
F	18.3	163.8	46.5
F	18.5	152.4	48.1
F	14.8	143	34.9
F	14.7	148.1	50.6
F	15.4	152.4	51.7
F	15.6	138.4	34
F	14.4	141.7	33.3
F	15.4	159.5	42.4
F	15.2	153.7	47.6
F	19.1	160.8	51.5
F	19	169.7	63.5
F	14	152.4	34.9
F	14.8	153.7	38.3
F	18.9	163.3	51.5
F	14.3	148.1	35.2
F	17.8	168.9	53.3
F	16.4	165.9	44.5
F	15.7	153.7	50.8
F	14.7	151.1	45.8
