,count,mean,std,min,1%,5%,10%,25%,50%,75%,90%,95%,99%,max
SP_OPN_PRC,5401.0,1704.5417175204593,750.4327063783052,679.280029,822.099976,902.650024,1016.099976,1167.709961,1399.050049,2092.340088,2858.600098,3225.97998,4034.439941,4255.279785
SP_HGH_PRC,5401.0,1714.4119038304018,753.0229451234169,695.27002,834.890015,911.429993,1023.169983,1176.26001,1406.22998,2101.300049,2872.899902,3240.919922,4083.129883,4257.160156
SP_LOW_PRC,5401.0,1693.852339250694,747.6566744348183,666.789978,812.820007,888.859985,1007.039978,1160.26001,1388.130005,2083.790039,2847.419922,3214.639893,4034.439941,4238.350098
SP_CLS_PRC,5401.0,1704.7677224432512,750.6567136341222,676.530029,825.159973,902.98999,1016.099976,1167.099976,1399.050049,2093.25,2858.449951,3225.889893,4063.040039,4255.149902
SP_VLM,5401.0,3210835486.021107,1525853890.5517879,356070000.0,846600000.0,1081800000.0,1251700000.0,1799770000.0,3312160000.0,4050070000.0,5063740000.0,5856370000.0,7615070000.0,11456230000.0
SP_ADJ_PRC,5401.0,1704.7677224432512,750.6567136341222,676.530029,825.159973,902.98999,1016.099976,1167.099976,1399.050049,2093.25,2858.449951,3225.889893,4063.040039,4255.149902
DOW_OPN_PRC,5401.0,15045.700753526939,6310.307879178641,6547.009766,7807.959961,8504.959961,9345.360352,10470.44043,12443.400391,17909.580078,25768.720703,27622.679688,33222.378906,34785.269531
DOW_HGH_PRC,5401.0,15134.780474376412,6333.859282668181,6709.609863,7920.490234,8602.610352,9424.110352,10534.219727,12511.049805,17984.220703,25929.650391,27800.710938,33506.800781,35091.558594
DOW_LOW_PRC,5401.0,14953.094368974818,6286.2272136136335,6469.950195,7694.720215,8406.450195,9262.299805,10417.080078,12371.509766,17814.810547,25608.019531,27488.210938,33222.378906,34741.570313
DOW_CLS_PRC,5401.0,15048.477091062954,6311.621099855974,6547.049805,7806.97998,8506.620117,9345.620117,10470.589844,12445.519531,17907.869141,25766.640625,27677.789063,33290.078125,34777.761719
DOW_VLM,5401.0,231241497.87076467,111392806.01462342,8410000.0,64500000.0,81570000.0,95980000.0,150390000.0,222160000.0,287330000.0,369320000.0,428420000.0,585000000.0,915990000.0
DOW_ADJ_PRC,5401.0,15048.477091062954,6311.621099855974,6547.049805,7806.97998,8506.620117,9345.620117,10470.589844,12445.519531,17907.869141,25766.640625,27677.789063,33290.078125,34777.761719
NQ_OPN_PRC,5401.0,4003.435089309572,2739.983463889783,1116.76001,1295.459961,1493.790039,1757.920044,2120.300049,2771.570068,5018.350098,7877.330078,9651.860352,13681.209961,14204.509766
NQ_HGH_PRC,5401.0,4030.767689102204,2755.8941080903446,1135.890015,1314.52002,1514.380005,1773.130005,2138.679932,2787.370117,5040.080078,7917.649902,9715.950195,13723.830078,14211.570313
NQ_LOW_PRC,5401.0,3972.2114455169412,2721.2141495397254,1108.48999,1279.189941,1473.130005,1734.140015,2100.169922,2747.23999,4994.459961,7823.72998,9505.679688,13551.009766,14064.280273
NQ_CLS_PRC,5401.0,4003.246458356971,2740.511006555401,1114.109985,1299.589966,1496.829956,1754.880005,2117.629883,2765.850098,5013.120117,7874.160156,9615.80957,13632.839844,14174.139648
NQ_VLM,5401.0,2105044364.0066655,847336650.6872556,149410000.0,1026600000.0,1370650000.0,1507010000.0,1704860000.0,1922050000.0,2199090000.0,2684540000.0,3825460000.0,5933440000.0,11102160000.0
NQ_ADJ_PRC,5401.0,4003.246458356971,2740.511006555401,1114.109985,1299.589966,1496.829956,1754.880005,2117.629883,2765.850098,5013.120117,7874.160156,9615.80957,13632.839844,14174.139648
RS2000_OPN_PRC,5401.0,918.3646527876319,430.03401562159195,327.040009,366.019989,423.179993,472.619995,575.809998,781.599976,1203.780029,1548.98999,1656.310059,2241.969971,2360.129883
RS2000_HGH_PRC,5401.0,925.1219756222921,432.61456058407055,336.179993,368.970001,430.089996,477.450012,580.700012,787.299988,1210.579956,1557.890015,1666.75,2264.159912,2360.169922
RS2000_LOW_PRC,5401.0,911.012694390113,427.41954476985745,324.899994,361.910004,418.230011,467.059998,570.390015,775.380005,1196.660034,1539.920044,1649.810059,2222.209961,2337.129883
RS2000_CLS_PRC,5401.0,918.5718481903352,430.24114336336237,327.040009,366.299988,423.179993,472.839996,575.809998,781.169983,1204.540039,1548.920044,1657.560059,2242.600098,2360.169922
RS2000_VLM,5399.0,3208641426.1900353,1530444805.906674,156110000.0,837590000.0,1071460000.0,1245380000.0,1795255000.0,3312160000.0,4047090000.0,5067064000.0,5859760000.0,7636115199.999996,11456230000.0
RS2000_ADJ_PRC,5401.0,918.5718481903352,430.24114336336237,327.040009,366.299988,423.179993,472.839996,575.809998,781.169983,1204.540039,1548.920044,1657.560059,2242.600098,2360.169922
NI225_OPN_PRC,5259.0,14955.760425539456,5092.527656934474,7059.77002,7959.02105468,8608.4267583,9016.8757816,10435.6049805,14436.049805,18825.4248045,22190.830077799998,23324.077929799998,29105.061640460004,30366.820313
NI225_HGH_PRC,5259.0,15047.782148620652,5109.106233688237,7100.77002,8036.62451186,8665.7738284,9080.5658206,10517.504882500001,14516.080078,18915.669922,22312.2878906,23420.7162113,29236.52390602,30714.519531
NI225_LOW_PRC,5259.0,14853.698148094125,5073.2263624158195,6994.899902,7860.124277299999,8528.6916013,8947.6902348,10358.8251955,14302.370117,18607.4794925,22073.805859,23241.969531299997,28898.48882802,30191.650391
NI225_CLS_PRC,5259.0,14951.793717239398,5093.646826301734,7054.97998,7935.1441209,8597.2649416,9009.2083988,10439.449707,14426.049805,18786.8896485,22200.8125002,23331.849804899997,29031.560312479996,30467.75
NI225_VLM,4648.0,118854152.54776248,52349252.70840354,1042.0,41141000.0,51900000.0,59870000.00000001,78775000.0,115000000.0,146400000.0,178400000.0,204989999.99999976,297105999.99999994,595200000.0
NI225_ADJ_PRC,5259.0,14951.793717239398,5093.646826301734,7054.97998,7935.1441209,8597.2649416,9009.2083988,10439.449707,14426.049805,18786.8896485,22200.8125002,23331.849804899997,29031.560312479996,30467.75
SSE_OPN_PRC,5194.0,2512.984169066423,879.993654270275,1007.901001,1094.23509679,1278.16123625,1418.3465086,1800.53576675,2453.6185305,3086.05126925,3439.63584,3938.623974349999,5290.662836549998,6057.428223
